DRE;CODESC;TIPOESC;NOMES;DESLOC;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;DISTRITO;CDIST;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;FX_ETARIA;NOME_ANT;LATITUDE;LONGITUDE;DATABASE
SA;400337;CEI INDIR;CRUZ DE MALTA;CRUZ DE MALTA;;SANTO AMARO;SANTO AMARO;RUA ORLANDO MURGEL;161;PARQUE JABAQUARA;4358090;55810944;;;Ativa;CAMPO BELO;15;1501;35183623;35183623;;;;;;37457;02/09/2011;;ZERO A 4 A;;-23639641;-46653186;25/12/2023
SA;400338;CEI INDIR;LUCILA DE SOUZA EGYDIO ;LUCILA DE SOUZA EGYDIO ;;SANTO AMARO;SANTO AMARO;RUA MYRON CLARK;145;PARQUE JABAQUARA;4356020;50314501;;;Ativa;CAMPO BELO;15;1501;35183714;35183714;1,61073E+14;;02/10/1992;32.368;01/10/1992;37457;09/09/2011;;1A A 3A;JARDIM AEROPORTO;-23637213;-46661069;25/12/2023
SA;400339;CEI INDIR;JARDIM PALMARES;JARDIM PALMARES;;SANTO AMARO;SANTO AMARO;RUA RAFAEL CORREIA SAMPAIO;181;JARDIM PALMARES;4457100;56123119;;56123119;Ativa;CAMPO GRANDE;16;1604;35183799;35183799;;;;;;37457;12/06/2013;;ZERO A 3A;;-23689642;-46676443;25/12/2023
CL;400340;CEI INDIR;PARQUE IPE;PARQUE IPE;;CAMPO LIMPO;CAMPO LIMPO;RUA MÁRIO MAIA;44;JARDIM MARIA VIRGINIA;5761330;58414231;;;Ativa;CAMPO LIMPO;17;1704;35183465;35183465;;;20/07/2002;2002.0.098.136.2;01/07/2002;37457;19/12/2011;;ZERO A 3 A ;;-23637400;-46763894;25/12/2023
CL;400341;CEI INDIR;JARDIM LUZITANIA;JARDIM LUZITANIA;;CAMPO LIMPO;CAMPO LIMPO;RUA FREI XISTO TEUBER;189;JARDIM MITSUTANI;5791080;58411200;;;Ativa;CAMPO LIMPO;17;1706;35183477;35183477;;;;;;37457;26/04/2012;;0A A 3A;;-23643756;-46780559;25/12/2023
CL;400342;CEI INDIR;JARDIM UMUARAMA;JARDIM UMUARAMA;;CAMPO LIMPO;CAMPO LIMPO;RUA ODEMIS;203;JARDIM UMUARAMA;5783180;55134444;;;Ativa;CAMPO LIMPO;17;1705;35183556;35183556;;;31/10/1996;36.509;31/10/1996;37457;15/03/2011;;1 A 3 A;;-23645418;-46769930;25/12/2023
PE;400343;CEI INDIR;JARDIM CASTELO;JARDIM CASTELO;;PENHA;PENHA;RUA DO BORGADO;111;ENGENHEIRO GOULART;3727090;20382040;;;Ativa;CANGAIBA;18;1803;35181663;35181663;;;02/07/1996;36.182;02/07/1996;37456;28/12/2011;;0 A 2 ANOS;;-23503096;-46512886;25/12/2023
PE;400344;CEI INDIR;JUAN CARLOS CASTRO GUARDIOLA, PE.;JUAN CARLOS CASTRO GUARDIOLA, PE.;;PENHA;PENHA;RUA CÍCERO PAULO;95;ENGENHEIRO GOULART;3726080;20382354;;;Ativa;CANGAIBA;18;1803;35181675;35181675;;;14/12/1995;35.236;27/06/1995;37457;09/12/2011;;ZERO A 03 ANOS ;JUAN CARLOS GUARDIOLA, PE.;-23503394;-46518340;25/12/2023
CL;400345;CEI INDIR;IRENE IRAPIRANGA;IRENE IRAPIRANGA;;CAMPO LIMPO;CAMPO LIMPO;RUA BICCI DI LORENZO;100;JARDIM IRAPIRANGA;5891190;58216301;;;Ativa;CAPAO REDONDO;19;1906;35183490;35183490;;;;;;37457;07/10/2015;;1A A 3A;;-23659820;-46794072;25/12/2023
CL;400346;CEI INDIR;COHAB ADVENTISTA;COHAB ADVENTISTA;;CAMPO LIMPO;CAMPO LIMPO;RUA INTEGRADA;620;CONJUNTO HABITACIONAL INSTITUTO ADVENTIS;5868670;58231991;;;Ativa;CAPAO REDONDO;19;1905;35184664;35184664;;;28/12/2000;40.193;28/12/2000;37457;16/12/2011;;ZERO A 3 A;;-23664766;-46780550;25/12/2023
FO;400347;CEI INDIR;PARQUE PERUCHE;PARQUE PERUCHE;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA SANTA EUDÓXIA;730;PARQUE PERUCHE;2533011;39667647;;;Ativa;CASA VERDE;21;2102;35180075;35180075;;;;;;37457;05/04/2012;;ZERO A 3A;;-23497490;-46655840;25/12/2023
SA;400348;CEI INDIR;VILA INGLESA;VILA INGLESA;;SANTO AMARO;CIDADE ADEMAR;RUA OSCAR SCHADE;300;CUPECE;4653130;56776312;;;Ativa;CIDADE ADEMAR;22;2201;35183573;35183573;;;;;;37457;17/08/2011;;ZERO A 03 ANOS ;;-23663592;-46674015;25/12/2023
SA;400349;CEI INDIR;LUIS DE OLIVEIRA DUARTE, DR;LUIS DE OLIVEIRA DUARTE, DR;;SANTO AMARO;CIDADE ADEMAR;RUA SEBASTIAO AFONSO;872;JARDIM MIRIAM;4417100;56232916;;;Ativa;CIDADE ADEMAR;22;2206;35183593;35183593;;;02/10/1992;32.368;01/10/1992;37457;14/09/2011;;ZERO A 03 ANOS ;LUIZ DE OLIVEIRA DUARTE, DR.;-23680393;-46637664;25/12/2023
CS;400350;CEI INDIR;JARDIM LEBLON;JARDIM LEBLON;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA PADRE JOSE GARZOTTI;494;CIDADE DUTRA;4806000;56665576;;;Ativa;CIDADE DUTRA;23;2302;35184342;35184342;;;02/10/1992;32.368;01/10/1992;37457;;;ZERO A 3 A;;-23711321;-46702804;25/12/2023
CS;400351;CEI INDIR;JARDIM DAS IMBUIAS II;JARDIM DAS IMBUIAS II;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA JOSE LUIS MONTEIRO;513;JARDIM DAS CAMELIAS;4829240;59736909;;;Ativa;CIDADE DUTRA;23;2307;35184378;35184378;;;02/10/1992;32.368;01/10/1992;37457;;;ZERO A 3 A;;-23728829;-46709512;25/12/2023
IQ;400352;CEI INDIR;JOAQUIM ALENCAR SEIXAS;JOAQUIM ALENCAR SEIXAS;;ITAQUERA;ITAQUERA;RUA ALEXANDRE CHEID;602;PARQUE SAVOI CITY;3570100;27439811;;;Ativa;CIDADE LIDER;24;2403;35181961;35181961;;;13/11/1991;30.554;13/11/1991;37457;28/10/2011;;ZERO A 3A;VILA PEDREIRA;-23564649;-46483845;25/12/2023
IQ;400353;CEI INDIR;JARDIM ELIANE;JARDIM ELIANE;;ITAQUERA;ITAQUERA;TRAVESSA MARIA DO CARMO DE FREITAS;S/N   ;JARDIM ELIANE;3578225;27245025;;;Ativa;CIDADE LIDER;24;2401;35181973;35181973;;;30/10/1996;36509;30/10/1996;37457;21/12/2010;;0 A 3 ANOS;;-23558252;-46502400;25/12/2023
IQ;400354;CEI INDIR;SANTA TEREZA;SANTA TEREZA;;ITAQUERA;ITAQUERA;RUA ACANTO;73;JARDIM BRASILIA;3583070;23067809;;;Ativa;CIDADE LIDER;24;2402;35181985;35181985;;;;;;37457;19/10/2011;;1 A 3 A ;;-23556003;-46492830;25/12/2023
G;400355;CEI INDIR;SITIO CONCEICAO, CEI;SITIO CONCEICAO, CEI;;GUAIANASES;CIDADE TIRADENTES;RUA WILSON FERNANDO S CARVALHO;215;CONJUNTO HABITACIONAL SITIO CONCEICAO;8473000;25556551;;;Ativa;CIDADE TIRADENTES;25;2502;35181869;35181869;;;30/10/1996;36509;30/10/1996;37457;13/12/2022;;0 A 3 ANOS;SITIO CONCEICAO;-23578503;-46392593;25/12/2023
SA;400356;CR.P.CONV;BEM TE VI;BEM TE VI;;SANTO AMARO;JABAQUARA;RUA DAS BICUIBAS;70;JARDIM ORIENTAL;4321150;37917242;;;Ativa;JABAQUARA;38;3804;35183635;35183635;;;;;;37457;10/03/2012;;1 A 3 A;;-23642941;-46641934;25/12/2023
FO;400357;CEI INDIR;PARQUE MANDI;PARQUE MANDI;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA NICOLAU BATANERO CAMPOS;211;VILA BANCARIA MUNHOZ;2759110;38517144;;;Ativa;FREGUESIA DO O;29;2907;35182771;35182771;;;;;;37457;05/04/2012;;ZERO A 3A;;-23481877;-46682829;25/12/2023
FO;400358;CEI INDIR;NOSSA SENHORA MAE DE DEUS;NOSSA SENHORA MAE DE DEUS;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA RIBEIRO DE MORAIS;962;VILA ALBERTINA;2731030;39324381;;;Ativa;FREGUESIA DO O;29;2910;35182795;35182795;;;;;;37457;04/04/2012;;ZERO A 3A;NS SRA MAE DE DEUS;-23500134;-46693630;25/12/2023
FO;400359;CEI INDIR;MENINO JESUS;MENINO JESUS;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA ANTONIETA LEITAO;375;FREGUESIA DO O;2925160;39319724;;39319724;Ativa;FREGUESIA DO O;29;2910;35182746;35182746;;;;;;37457;04/04/2012;;ZERO A 3 A;;-23502734;-46698091;25/12/2023
CS;400360;CEI INDIR;JARDIM GUANABARA;JARDIM GUANABARA;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA ARNOLD BENNETT;270;GRANJA NOSSA SENHORA APARECIDA;4860130;59253373;;;Ativa;CIDADE DUTRA;23;2309;35184385;35184385;;;30/10/1996;36509;30/10/1996;37457;25/10/2014;;ZERO A 3A;;-23761705;-46712443;25/12/2023
CS;400361;CEI INDIR;JARDIM NOVO HORIZONTE;JARDIM NOVO HORIZONTE;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA DA SEREIA;40;JARDIM NOVO HORIZONTE;4856280;55270079;;;Ativa;GRAJAU;30;3014;35184433;35184433;;;20/07/2002;2002.0.120.182.4;01/07/2002;37457;17/03/2012;;ZERO A 3 A;;-23777366;-46696747;25/12/2023
CS;400362;CEI INDIR;PARQUE RESIDENCIAL COCAIA - GRAJAU;PARQUE RESIDENCIAL COCAIA - GRAJAU;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;PRACA OSCAR FENNER;S/N   ;PARQUE RESIDENCIAL COCAIA;4849360;55285525;978455651;;Ativa;GRAJAU;30;3012;35184470;35184470;;;13/08/1997;37.002;13/08/1997;37457;11/10/2012;;ZERO A 3 A ;PARQUE RESIDENCIAL COCAIA / GRAJAU;-23743303;-46670253;25/12/2023
G;400364;CEI INDIR;VICENTE MATHEUS;VICENTE MATHEUS;;GUAIANASES;GUAIANASES;RUA COMANDANTE CARLOS RUHL;177;VILA PRINCESA ISABEL;8410130;25547012;;;Ativa;GUAIANASES;31;3101;35181870;35181870;;;;;;37457;14/08/2012;;0A A3A;;-23545604;-46415294;25/12/2023
SM;400365;CEI INDIR;JARDIM DA CONQUISTA;JARDIM DA CONQUISTA;;SAO MATEUS;SAO MATEUS;TRAVESSA SINHA MOCA;879;JARDIM DA CONQUISTA;8344000;27312759;;;Ativa;IGUATEMI;33;3307;35181912;35181912;;;30/10/1996;36509;30/10/1996;37670;19/10/2011;;0A A 3A;;-23608376;-46446952;25/12/2023
SM;400366;CEI INDIR;BENEDITO COSTA CARVALHO, DR.;BENEDITO COSTA CARVALHO, DR.;;SAO MATEUS;SAO MATEUS;RUA PIRAMIDE DOS PIQUES;102;JARDIM DAS LARANJEIRAS;8381020;27361823;;;Ativa;IGUATEMI;33;3304;35182047;35182047;;;10/08/1995;35.382;10/08/1995;37457;24/09/2010;;0 A 3 ANOS;;-23607208;-46433619;25/12/2023
IP;400367;CEI INDIR;VILA CARIOCA;VILA CARIOCA;;IPIRANGA;IPIRANGA;RUA ÁLVARO FRAGOSO;520;VILA INDEPENDÊNCIA;4223000;20697522;;;Ativa;IPIRANGA;34;3405;35181031;35181031;;;;;;37457;01/11/2012;;ZERO A 4 A;HELENE LONDAHL;-23596934;-46592225;25/12/2023
IP;400368;CEI INDIR;ISABEL, PRINCESA;ISABEL, PRINCESA;;IPIRANGA;IPIRANGA;RUA MACACHAS;293;VILA NAIR;4282000;50618704;50618952;;Ativa;IPIRANGA;34;3402;35181055;35181055;;;;;;37457;24/02/2012;;2A A 4A;;-23606534;-46611856;25/12/2023
IP;400369;CR.P.CONV;PEDRO BALINT, PE;PEDRO BALINT, PE;;IPIRANGA;IPIRANGA;RUA JAPARATUBA;65;VILA CONDE DO PINHAL;4254000;20685273;;20685273;Ativa;SACOMA;68;6801;35181201;35181201;;;;;;37457;11/12/2021;;0 A 3 ANOS;;-23615276;-46595239;25/12/2023
BT;400370;CEI INDIR;SANTA TEREZA DE JESUS;SANTA TEREZA DE JESUS;;BUTANTA;PINHEIROS;RUA COJUBA;159;ITAIM BIBI;4533040;31684578;;;Ativa;ITAIM BIBI;35;3501;35180361;35180361;;;;;;37457;01/02/2012;;2 A 4 A ;;-23587210;-46685079;25/12/2023
SA;400372;CEI INDIR;MUNIR ABBUD;MUNIR ABBUD;;SANTO AMARO;JABAQUARA;RUA NESTOR DE CASTRO;323;CIDADE DOMITILA;4387270;56776319;;;Ativa;JABAQUARA;38;3805;35183659;35183659;;;10/11/1995;35.651;10/11/1995;37457;02/09/2011;;ZERO A 03 ANOS ;;-23661883;-46653942;25/12/2023
SA;400373;CEI INDIR;MARIA APARECIDA JERONIMO;MARIA APARECIDA JERONIMO;;SANTO AMARO;JABAQUARA;PRACA BARÃO DE JAPURÁ;1;VILA GUARANIZONA SUL;4313160;50119694;;;Ativa;JABAQUARA;38;3803;35183684;35183684;;;02/10/1992;32.368;01/10/1992;37457;04/10/2011;;0A A 3A;VILA GUARANI;-23637578;-46639939;25/12/2023
SA;400374;CEI INDIR;JABAQUARA;JABAQUARA;;SANTO AMARO;JABAQUARA;PRACA WHITAKER PENTEADO;290;VILA GUARANI;4307050;50715299;;;Ativa;JABAQUARA;38;3802;35183702;35183702;;;02/10/1992;32.368;01/10/1992;37457;09/09/2011;;01 A 03 ANOS;;-23631067;-46643927;25/12/2023
JT;400375;CEI INDIR;ELIZABETH DE SOUZA;ELIZABETH DE SOUZA;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA FLOR DE OURO;413;VILA NOVA GALVAO;2281010;;;;Ativa;JACANA;39;3901;35183167;35183167;;;13/11/1991;30.554;13/11/1991;37457;27/07/2011;;ZERO A 4 A;VILA NOVA GALVAO;-23453022;-46571670;25/12/2023
JT;400376;CEI INDIR;JARDIM CABUCU;JARDIM CABUCU;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA JAN MONET;149;JARDIM MODELO;2238210;22409292;;;Ativa;JACANA;39;3903;35183180;35183180;;;;;;37457;27/07/2011;;ZERO A 3 A;;-23465051;-46567861;25/12/2023
JT;400377;CEI DIRET;PARQUE EDU CHAVES;PARQUE EDU CHAVES;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA HINTEM MARTINS;390;PARQUE EDU CHAVES;2229070;22405722;22406467;;Ativa;JACANA;39;3905;35183192;35183192;1,628E+14;;11/04/2003;43.079;10/04/2003;37457;22/05/2007;;ZERO A 4A E 11M;;-23480509;-46566185;25/12/2023
PJ;400378;CEI INDIR;VILA PIAUI;VILA PIAUI;;PIRITUBA;LAPA;RUA FRANCISCO OLAVO DE ASSIS;S/N   ;CHACARA SAO JOAO;5109070;36226554;;;Ativa;JAGUARA;40;4001;35182825;35182825;;;02/07/1996;36.182;02/07/1996;37457;01/10/2011;;0A A 3A;;-23505569;-46763330;25/12/2023
PJ;400379;CEI INDIR;VILA NOVA JAGUARE;VILA NOVA JAGUARE;;PIRITUBA;LAPA;AVENIDA DRACENA;797;JAGUARE;5329000;37681685;;37681685;Ativa;JAGUARE;41;4101;35180415;35180415;;;13/11/1991;30.554;13/11/1991;37457;28/06/2012;;ZERO A 3 A ;JAGUARE;-23541694;-46748971;25/12/2023
PJ;400380;CEI INDIR;SAO LUIZ MARIE DE MONTFORT;SAO LUIZ MARIE DE MONTFORT;;PIRITUBA;PIRITUBA;RUA LITORAL PARANAENSE;102;JARDIM PIRITUBA;2984030;39421102;;;Ativa;JARAGUA;42;4208;35182936;35182936;;;;;;37457;16/01/2018;;ZERO A 3 ANOS;SAO LUIZ MARIE DE MONTEFORT;-23446967;-46721218;25/12/2023
CL;400381;CEI INDIR;JARDIM FUJIHARA;JARDIM FUJIHARA;;CAMPO LIMPO;M'BOI MIRIM;RUA AMALFI;13;JARDIM NAKAMURA;4942170;58319632;;;Ativa;JARDIM ANGELA;43;4305;35183957;35183957;;;02/07/1996;36.182;02/07/1996;37457;12/12/2012;;0A A 3A;;-23699388;-46771407;25/12/2023
CL;400382;CEI INDIR;JARDIM DOS REIS;JARDIM DOS REIS;;CAMPO LIMPO;M'BOI MIRIM;ESTRADA DO JARARAU;89;CHÁCARA NANI;4943120;58333405;;;Ativa;JARDIM ANGELA;43;4301;35184020;35184020;;;20/07/2002;2002.0.099.071.0;01/07/2002;37457;21/12/2011;;01 A 03 ANOS ;;-23703023;-46791323;25/12/2023
CL;400383;CEI INDIR;ADAIL TINI DE ARAUJO;ADAIL TINI DE ARAUJO;;CAMPO LIMPO;M'BOI MIRIM;RUA CIRO FERRI;51;VILA REMO;5864020;55156250;;;Ativa;JARDIM ANGELA;43;4302;35184068;35184068;;;02/07/1996;36.182;02/07/1996;37457;20/10/2012;;ZERO A 03 ANOS ;VILA REMO;-23676439;-46762990;25/12/2023
CL;400385;CEI INDIR;JARDIM MONTE AZUL;JARDIM MONTE AZUL;;CAMPO LIMPO;M'BOI MIRIM;AVENIDA TOMÁS DE SOUSA;874;JARDIM MONTE AZUL;5836350;58518714;;;Ativa;JARDIM SAO LUIS;46;4601;35181468;35181468;;;;;;37457;13/03/2012;;0A A 3A;MONTE AZUL;-23645883;-46736857;25/12/2023
IQ;400387;CEI INDIR;NOGUEIRA SUDESTE;NOGUEIRA SUDESTE;;ITAQUERA;ITAQUERA;RUA CESAR DOMENICO;112;CONJUNTO RESIDENCIAL JOSE BONIFACIO;8255480;25210249;;;Ativa;JOSE BONIFACIO;47;4702;35181894;35181894;;;02/10/1992;32.368;01/10/1992;37457;20/12/2011;;ZERO A 2A;;-23548681;-46434328;25/12/2023
IQ;400388;CEI INDIR;JOSE BONIFACIO (BOM PASTOR II);JOSE BONIFACIO (BOM PASTOR II);;ITAQUERA;ITAQUERA;AVENIDA NAGIB FARAH MALUF;1410;CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO;8255000;20714877;;;Ativa;JOSE BONIFACIO;47;4702;35181900;35181900;;;;;;37457;17/12/2011;;ZERO A 3 A;ALOJAMENTO PROVISORIO C.B.P.O.;-23541259;-46433483;25/12/2023
G;400389;CEI INDIR;NOSSA SENHORA DE LOURDES;NOSSA SENHORA DE LOURDES;;GUAIANASES;GUAIANASES;RUA GUEDES DE BRITO;45;JARDIM LOURDES;8452480;25690592;;;Ativa;LAJEADO;96;9603;35181808;35181808;;;;;;37457;06/01/2012;;0A A 3A;NS SRA DE LOURDES;-23529503;-46394776;25/12/2023
G;400390;CEI INDIR;MUNDO DA ALEGRIA IV;MUNDO DA ALEGRIA IV;;GUAIANASES;GUAIANASES;RUA CECILIO MENDES PEREIRA;212;JARDIM CAMARGO NOVO;8142410;25623290;;;Ativa;LAJEADO;96;9603;35181812;35181812;;;20/07/2002;2002.0.128.671.4;01/07/2002;37457;23/01/2012;;DE 0 A 3 ANOS;LAGEADO JA SAO JORGE;-23523363;-46394674;25/12/2023
IP;400393;CEI INDIR;RUY AMARAL MELLO, CON;RUY AMARAL MELLO, CON;;IPIRANGA;SE;RUA TENENTE AZEVEDO;208;CAMBUCI;1528020;32773788;;;Ativa;LIBERDADE;49;4901;35181006;35181006;;;01/02/2011;2010.0.131.205.4;01/02/2011;37457;06/12/2013;;1 A 3 A ;;-23565882;-46626604;25/12/2023
IP;400394;CEI INDIR;ITALO BRASIL PORTIERI;ITALO BRASIL PORTIERI;;IPIRANGA;VILA MARIANA;RUA PEDRO DE TOLEDO;1809;VILA CLEMENTINO;4039034;55717035;55736942;;Ativa;MOEMA;32;3202;35180524;35180524;;;;;;37438;05/01/2011;;ZERO A 3 A;;-23597504;-46655064;25/12/2023
CS;400396;CEI INDIR;JARDIM DOS SABIAS;JARDIM DOS SABIAS;;CAPELA DO SOCORRO;PARELHEIROS;RUA CONSTANTINO BRUNO DI BARTOLOMEU;110;CHÁCARA SÃO SILVESTRE;4888050;59208047;;;Ativa;PARELHEIROS;55;5507;35184536;35184536;1,61075E+14;;20/07/2002;2002.0.120.102.6;01/07/2002;37457;;;ZERO A 03 ANOS;JARDIM DO CENTRO;-23827110;-46735890;25/12/2023
CS;400397;CEI INDIR;MARIA NATIVIDADE MACHADO;MARIA NATIVIDADE MACHADO;;CAPELA DO SOCORRO;CAPELA DO SOCORRO;RUA ERNESTA FRACAROLLI;50;JARDIM SAO RAFAEL;4860040;59397682;;;Ativa;CIDADE DUTRA;23;2310;35184688;35184688;1,623E+14;;;;;37457;23/11/2012;;ZERO A 3 A;;-23759986;-46718275;25/12/2023
CS;400398;CEI INDIR;NOSSA SENHORA DE GUADALUPE ;NOSSA SENHORA DE GUADALUPE ;;CAPELA DO SOCORRO;PARELHEIROS;RUA SATELITE ARIEL;304;JARDIM CASA GRANDE;4858490;59223666;;;Ativa;PARELHEIROS;55;5502;35184697;35184697;1,623E+14;;02/10/1992;32.368;01/10/1992;37457;18/09/2014;;ZERO A 03 ANOS ;JD CASA GRANDE;-23774004;-46717344;25/12/2023
PE;400399;CEI INDIR;PARI;PARI;;PENHA;MOOCA;RUA CARNOT;950;CANINDE;3032030;33133150;;;Ativa;PARI;56;5601;35180117;35180117;;;02/10/1992;32.368;01/10/1992;37457;20/06/2012;;0A A 3A;;-23526166;-46621302;25/12/2023
IQ;400400;CEI INDIR;MARIA LUIZA AMERICANO;MARIA LUIZA AMERICANO;;ITAQUERA;ITAQUERA;RUA ONOFRE JORGE VELHO;101;CIDADE LÍDER;8280330;22171567;;;Ativa;PARQUE DO CARMO;57;5703;35181936;35181936;;;02/10/1992;32.368;01/10/1992;37457;28/10/2011;;0 A 3 ANOS;;-23560881;-46471822;25/12/2023
IQ;400401;CEI INDIR;GLEBA DO PESSEGO;GLEBA DO PESSEGO;;ITAQUERA;ITAQUERA;RUA MALMEQUERDOCAMPO;1235;GLEBA DO PÊSSEGO;8265380;25214171;;25214171;Ativa;PARQUE DO CARMO;57;5705;35182011;35182011;;;;;;37457;30/11/2011;;1 A 3 A ;;-23583461;-46449491;25/12/2023
SA;400402;CEI INDIR;MARIA ESTEFANO MALUF;MARIA ESTEFANO MALUF;;SANTO AMARO;CIDADE ADEMAR;RUA DOM JOAO BATISTA NERI;381;JARDIM ITAPURA;4467050;56110464;;;Ativa;PEDREIRA;58;5802;35183738;35183738;;;04/08/1994;34.387;04/08/1994;37457;14/09/2011;;ZERO A 3A;;-23694011;-46655531;25/12/2023
SA;400403;CEI INDIR;PARQUE DOROTEIA;PARQUE DOROTEIA;;SANTO AMARO;CIDADE ADEMAR;RUA FRANCISCO JOSE DA COSTA;70;PARQUE DOROTEIA;4474290;55603985;55603922;;Ativa;PEDREIRA;58;5803;35183748;35183748;;;20/07/2002;2002.0.122.081.0;01/07/2002;37457;17/09/2011;;ZERO A 3 A;;-23701388;-46640712;25/12/2023
SA;400404;CEI INDIR;MIGUEL FRANCHINI NETO, VER.;MIGUEL FRANCHINI NETO, VER.;;SANTO AMARO;CIDADE ADEMAR;RUA CÔNEGO ANTÔNIO PINTO;102;JARDIM DA PEDREIRA;4468000;56115919;;;Ativa;PEDREIRA;58;5801;35183775;35183775;;;06/04/1988;25.686;06/04/1988;37457;31/08/2011;;1A A 3A;;-23694061;-46667071;25/12/2023
PE;400405;CEI INDIR;PENHA - BOM JESUS;PENHA - BOM JESUS;;PENHA;PENHA;RUA DOUTOR ISMAEL DIAS;116;GUAIAUNA;3631010;2293-4852;;22934852;Ativa;PENHA;59;5902;35181730;35181730;;;;;;37691;;;0A A 3A ;PENHA;-23531083;-46550626;25/12/2023
PJ;400406;CEI INDIR;VILA ANGLO;VILA ANGLO;;PIRITUBA;LAPA;RUA DANIEL CARDOSO;129;VILA ANGLO BRASILEIRA;5028090;36732129;;;Ativa;PERDIZES;60;6001;35180452;35180452;;;02/10/1992;32.368;01/10/1992;37457;14/12/2012;;ZERO A 3A;;-23535319;-46693058;25/12/2023
BT;400408;CEI INDIR;LAR DO ALVORECER CRISTAO;LAR DO ALVORECER CRISTAO;;BUTANTA;PINHEIROS;RUA HARMONIA;1166;SUMAREZINHO;5435001;30314880;;;Ativa;PINHEIROS;62;6201;35180580;35180580;;;;;;37490;25/02/2012;;ZERO A 4 A ;;-23548600;-46691556;25/12/2023
PJ;400409;CEI INDIR;VILA REGINA;VILA REGINA;;PIRITUBA;PIRITUBA;RUA ALBERTO PIRES;69;VILA MIRIAM;2968100;39912679;;;Ativa;PIRITUBA;63;6304;35182965;35182965;;;;;;37457;;;0 MESES A 3 ANOS;;-23478453;-46707760;25/12/2023
PJ;400410;CEI INDIR;CHAQUIBE FANDI KALIL;CHAQUIBE FANDI KALIL;;PIRITUBA;PIRITUBA;RUA PROFESSOR JOSE LOURENCO;229;VILA ZAT;2977020;41197084;;;Ativa;PIRITUBA;63;6304;35183003;35183003;;;17/10/1995;35.574;17/10/1995;37457;16/12/2011;;1 A 3 A ;;-23473522;-46714315;25/12/2023
PE;400411;CEI INDIR;VILA UNIAO;VILA UNIAO;;PENHA;ERMELINO MATARAZZO;RUA SÍLVIO RIBEIRO DOS SANTOS;156;VILA UNIAO ZONA LESTE;3683040;22805693;;;Ativa;PONTE RASA;64;6402;35181754;35181754;;;04/03/1986;21.968;04/03/1986;37457;17/11/2011;;ZERO A 2A;;-23517162;-46477451;25/12/2023
BT;400412;CEI INDIR;NOITE ENCANTADA VII;NOITE ENCANTADA VII;;BUTANTA;BUTANTA;RUA NAZIR MIGUEL;270;JARDIM PAULO VI;5570030;37880999;;;Ativa;RAPOSO TAVARES;65;6505;35180658;35180658;;;;;;37457;10/12/2011;;1 A 4 A;NOVA ERA, MODULO I;-23602026;-46791263;25/12/2023
BT;400413;CEI INDIR;JOAO XXIII, PAPA;JOAO XXIII, PAPA;;BUTANTA;BUTANTA;RUA DOUTOR ERÍCIO ÁLVARES DE AZEVEDO GONZAGA;S/N   ;JARDIM CAMBARA;5560030;37829406;;;Ativa;RAPOSO TAVARES;65;6503;35180701;35180701;;;;;;37457;16/06/2012;;0 A 2 ANOS;;-23588121;-46779320;25/12/2023
BT;400414;CEI INDIR;COHAB EDUCANDARIO;COHAB EDUCANDARIO;;BUTANTA;BUTANTA;RUA JOSE PORFIRIO DE SOUZA;S/N   ;JARDIM RAPOSO TAVARES;5563090;37816945;;;Ativa;RAPOSO TAVARES;65;6504;35184573;35184573;;;30/10/1996;36509;30/10/1996;37457;23/11/2011;;1A A 3A;;-23603026;-46780426;25/12/2023
BT;400415;CEI INDIR;RECANTO DA ALEGRIA III;RECANTO DA ALEGRIA III;;BUTANTA;BUTANTA;RUA DOMINGOS DE ABREU;715;VILA DALVA;5387070;37615322;;;Ativa;RIO PEQUENO;67;6702;35180798;35180798;;;;;;37457;31/08/2012;;2 A 3 A ;;-23563905;-46764994;25/12/2023
BT;400416;CEI INDIR;SAO LUIS GONZAGA;SAO LUIS GONZAGA;;BUTANTA;BUTANTA;RUA GERTRUDES CUNHA;30;JARDIM ESTER YOLANDA;5374050;37191955;;37191955;Ativa;RIO PEQUENO;67;6703;35180774;35180774;;;;;;37457;18/08/2012;;ZERO A 3A;ESTHER YOLANDA;-23577278;-46758458;25/12/2023
